corruption,severity,sample_count,accuracy,accuracy_percent,error_rate,macro_f1,negative_log_likelihood,expected_calibration_error_15_bin,corruption_mean_accuracy
contrast,4,10000,0.7351,73.50999999999999,0.2649,0.7424437055814421,1.1202055215835571,0.16449134138226512,0.73952
contrast,5,10000,0.2895,28.95,0.7105,0.24999890171350617,4.195597171783447,0.5307866567388176,0.73952
elastic_transform,1,10000,0.8841,88.41,0.1159,0.8854038359997317,0.4271788001060486,0.06372513501942154,0.82106
elastic_transform,2,10000,0.8852,88.52,0.11480000000000001,0.886865105151042,0.4369134306907654,0.06005608147680764,0.82106
elastic_transform,3,10000,0.8376,83.76,0.1624,0.842208830636804,0.6329992413520813,0.09239167278856036,0.82106
elastic_transform,4,10000,0.7645,76.44999999999999,0.23550000000000004,0.7733710267121242,0.9797661304473877,0.13770539038926363,0.82106
elastic_transform,5,10000,0.7339,73.39,0.2661,0.7385363073042411,1.067176103591919,0.15213134059458974,0.82106
pixelate,1,10000,0.9096,90.96,0.09040000000000004,0.9089820949866546,0.3262934684753418,0.04708186535835271,0.71834
pixelate,2,10000,0.8531,85.31,0.14690000000000003,0.8511090763314774,0.5844785571098328,0.07892636629641056,0.71834
pixelate,3,10000,0.7994,79.94,0.2006,0.7956274730535687,0.8462380170822144,0.1162902121588588,0.71834
pixelate,4,10000,0.6097,60.97,0.3903,0.6017312974643745,1.919721245765686,0.2584395243123174,0.71834
pixelate,5,10000,0.4199,41.99,0.5801000000000001,0.3838442922712597,3.315772771835327,0.4128266404509544,0.71834
jpeg_compression,1,10000,0.8552,85.52,0.14480000000000004,0.8548949702335044,0.5385713577270508,0.0803365156024695,0.78468
jpeg_compression,2,10000,0.803,80.30000000000001,0.19699999999999995,0.8035411367803913,0.7650626301765442,0.11137615623623134,0.78468
jpeg_compression,3,10000,0.7832,78.32000000000001,0.2168,0.7835142086114861,0.8564848899841309,0.12337486152946955,0.78468
jpeg_compression,4,10000,0.7601,76.01,0.2399,0.7612328100681065,0.9674676656723022,0.13722715172171585,0.78468
jpeg_compression,5,10000,0.7219,72.19,0.2781,0.7232054737919377,1.1312593221664429,0.16283301265388728,0.78468
